Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
11,7/22/1998,170,Luchon,Plateau de Beille,Stage with mountain(s),Marco Pantani,ITA
12,7/24/1998,222,Tarascon-sur-Ariège,Le Cap d'Agde,Plain stage,Tom Steels,BEL
13,7/25/1998,196,Frontignan la Peyrade,Carpentras,Plain stage,Daniele Nardello,ITA
14,7/26/1998,186.5,Valréas,Grenoble,Hilly stage,Stuart O'Grady,AUS
15,7/27/1998,189,Grenoble,Les Deux Alpes,Stage with mountain(s),Marco Pantani,ITA
16,7/28/1998,204,Vizille,Albertville,Stage with mountain(s),Jan Ullrich,GER
17,7/29/1998,149,Albertville,Aix-les-Bains,Stage with mountain(s),—,
18,7/30/1998,218.5,Aix-les-Bains,Neuchâtel,Hilly stage,Tom Steels,BEL
19,7/31/1998,242,La Chaux-de-Fonds,Autun,Plain stage,Magnus Bäckstedt,SWE
20,8/1/1998,52,Montceau-les-Mines,Le Creusot,Individual time trial,Jan Ullrich,GER
21,8/2/1998,147.5,Melun,Paris,Plain stage,Tom Steels,BEL
P,7/5/1997,7.3,Rouen,Rouen,Individual time trial,Chris Boardman,GBR
1,7/6/1997,192,Rouen,Forges-les-Eaux,Flat stage,Mario Cipollini,ITA
2,7/7/1997,262,Saint-Valery-en-Caux,Vire,Flat stage,Mario Cipollini,ITA
3,7/8/1997,224,Vire,Plumelec,Flat stage,Erik Zabel,GER
